angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.568	6.6068	0.086848	11.514
0.569	6.6055	0.086795	11.521
0.57	6.6042	0.086741	11.529
0.571	6.6029	0.086689	11.536
0.572	6.6016	0.086636	11.543
0.573	6.6003	0.086584	11.549
0.574	6.599	0.086533	11.556
0.575	6.5977	0.086482	11.563
0.576	6.5964	0.086431	11.57
0.577	6.5951	0.086381	11.577
0.578	6.5938	0.086332	11.583
0.579	6.5925	0.086282	11.59
0.58	6.5913	0.086234	11.596
0.581	6.59	0.086185	11.603
0.582	6.5887	0.086137	11.609
0.583	6.5874	0.08609	11.616
0.584	6.5862	0.086043	11.622
0.585	6.5849	0.085996	11.628
0.586	6.5836	0.08595	11.635
0.587	6.5824	0.085904	11.641
0.588	6.5811	0.085859	11.647
0.589	6.5799	0.085814	11.653
0.59	6.5786	0.085769	11.659
0.591	6.5774	0.085725	11.665
0.592	6.5761	0.085682	11.671
0.593	6.5749	0.085638	11.677
0.594	6.5737	0.085595	11.683
0.595	6.5724	0.085553	11.689
0.596	6.5712	0.085511	11.694
0.597	6.57	0.085469	11.7
0.598	6.5687	0.085428	11.706
0.599	6.5675	0.085387	11.711
0.6	6.5663	0.085347	11.717
0.601	6.5651	0.085307	11.722
0.602	6.5639	0.085267	11.728
0.603	6.5627	0.085228	11.733
0.604	6.5615	0.085189	11.739
0.605	6.5603	0.085151	11.744
0.606	6.5591	0.085112	11.749
0.607	6.5579	0.085075	11.754
0.608	6.5567	0.085038	11.76
0.609	6.5555	0.085001	11.765
0.61	6.5543	0.084964	11.77
0.611	6.5531	0.084928	11.775
0.612	6.5519	0.084892	11.78
0.613	6.5508	0.084857	11.785
0.614	6.5496	0.084822	11.789
0.615	6.5484	0.084787	11.794
0.616	6.5472	0.084753	11.799
0.617	6.5461	0.084719	11.804
0.618	6.5449	0.084686	11.808
0.619	6.5438	0.084653	11.813
0.62	6.5426	0.08462	11.818
0.621	6.5415	0.084588	11.822
0.622	6.5403	0.084556	11.826
0.623	6.5392	0.084524	11.831
0.624	6.538	0.084493	11.835
0.625	6.5369	0.084462	11.84
0.626	6.5357	0.084432	11.844
0.627	6.5346	0.084402	11.848
0.628	6.5335	0.084372	11.852
0.629	6.5323	0.084342	11.856
0.63	6.5312	0.084313	11.861
0.631	6.5301	0.084285	11.865
0.632	6.529	0.084256	11.869
0.633	6.5279	0.084228	11.872
0.634	6.5268	0.084201	11.876
0.635	6.5257	0.084174	11.88
0.636	6.5246	0.084147	11.884
0.637	6.5235	0.08412	11.888
0.638	6.5224	0.084094	11.891
0.639	6.5213	0.084068	11.895
0.64	6.5202	0.084043	11.899
0.641	6.5191	0.084017	11.902
0.642	6.518	0.083993	11.906
0.643	6.5169	0.083968	11.909
0.644	6.5158	0.083944	11.913
0.645	6.5148	0.08392	11.916
0.646	6.5137	0.083897	11.919
0.647	6.5126	0.083874	11.923
0.648	6.5115	0.083851	11.926
0.649	6.5105	0.083828	11.929
0.65	6.5094	0.083806	11.932
0.651	6.5084	0.083784	11.935
0.652	6.5073	0.083763	11.938
0.653	6.5063	0.083742	11.941
0.654	6.5052	0.083721	11.944
0.655	6.5042	0.083701	11.947
0.656	6.5031	0.083681	11.95
0.657	6.5021	0.083661	11.953
0.658	6.5011	0.083641	11.956
0.659	6.5	0.083622	11.959
0.66	6.499	0.083603	11.961
0.661	6.498	0.083585	11.964
0.662	6.4969	0.083567	11.966
0.663	6.4959	0.083549	11.969
0.664	6.4949	0.083531	11.972
0.665	6.4939	0.083514	11.974
0.666	6.4929	0.083497	11.976
0.667	6.4919	0.083481	11.979
0.668	6.4909	0.083464	11.981
0.669	6.4899	0.083448	11.983
0.67	6.4889	0.083433	11.986
0.671	6.4879	0.083417	11.988
0.672	6.4869	0.083402	11.99
0.673	6.4859	0.083388	11.992
0.674	6.4849	0.083373	11.994
0.675	6.4839	0.083359	11.996
0.676	6.483	0.083346	11.998
0.677	6.482	0.083332	12
0.678	6.481	0.083319	12.002
0.679	6.48	0.083306	12.004
0.68	6.4791	0.083294	12.006
0.681	6.4781	0.083281	12.008
0.682	6.4772	0.083269	12.009
0.683	6.4762	0.083258	12.011
0.684	6.4753	0.083246	12.013
0.685	6.4743	0.083235	12.014
0.686	6.4734	0.083225	12.016
0.687	6.4724	0.083214	12.017
0.688	6.4715	0.083204	12.019
0.689	6.4705	0.083194	12.02
0.69	6.4696	0.083185	12.021
0.691	6.4687	0.083175	12.023
0.692	6.4677	0.083166	12.024
0.693	6.4668	0.083158	12.025
0.694	6.4659	0.083149	12.027
0.695	6.465	0.083141	12.028
0.696	6.4641	0.083133	12.029
0.697	6.4631	0.083126	12.03
0.698	6.4622	0.083119	12.031
0.699	6.4613	0.083112	12.032
0.7	6.4604	0.083105	12.033
0.701	6.4595	0.083099	12.034
0.702	6.4586	0.083093	12.035
0.703	6.4577	0.083087	12.036
0.704	6.4569	0.083081	12.036
0.705	6.456	0.083076	12.037
0.706	6.4551	0.083071	12.038
0.707	6.4542	0.083066	12.039
0.708	6.4533	0.083062	12.039
0.709	6.4524	0.083058	12.04
0.71	6.4516	0.083054	12.04
0.711	6.4507	0.083051	12.041
0.712	6.4498	0.083047	12.041
0.713	6.449	0.083044	12.042
0.714	6.4481	0.083042	12.042
0.715	6.4473	0.083039	12.043
0.716	6.4464	0.083037	12.043
0.717	6.4456	0.083035	12.043
0.718	6.4447	0.083033	12.043
0.719	6.4439	0.083032	12.044
0.72	6.443	0.083031	12.044
0.721	6.4422	0.08303	12.044
0.722	6.4414	0.08303	12.044
0.723	6.4405	0.083029	12.044
0.724	6.4397	0.083029	12.044
0.725	6.4389	0.08303	12.044
0.726	6.4381	0.08303	12.044
0.727	6.4372	0.083031	12.044
0.728	6.4364	0.083032	12.044
0.729	6.4356	0.083033	12.043
0.73	6.4348	0.083035	12.043
0.731	6.434	0.083037	12.043
