 	Area	Mean	StdDev	Min	Max	Major	Minor	Angle	Feret	IntDen	Median	RawIntDen	FeretX	FeretY	FeretAngle	MinFeret
98	30.1482	3704.9904	654.4903	2041	5014	6.2399	6.1517	88.0310	6.3717	111698.7371	3617	6969087.0000	48	827	49.0283	6.0768
99	32.3921	4074.1623	844.2263	2041	5666	6.4408	6.4034	103.9469	6.5832	131970.5466	3998	8233882.0000	687	851	67.3801	6.4566
100	23.6089	3954.6008	788.3241	2041	5361	5.5054	5.4600	96.2839	5.6900	93363.6399	3932	5825127.0000	498	830	110.8545	5.5367
101	28.2409	3601.5556	789.4880	2042	5005	6.2422	5.7604	146.3491	6.5344	101711.1130	3697	6345941.0000	155	855	144.4623	5.9249
102	19.1852	3460.7235	565.9730	2053	4408	4.9657	4.9192	110.8024	5.1269	66394.7020	3465	4142486.0000	367	916	122.9052	4.9374
103	24.2500	3365.8262	504.3525	2044	4334	5.5588	5.5545	42.6826	5.6970	81621.2024	3278	5092495.0000	804	946	126.8699	5.5704
104	33.9628	3556.6248	618.8139	2046	4957	6.5913	6.5606	44.4919	6.7432	120792.8947	3398	7536488.0000	188	46	39.6678	6.5832
105	18.8326	3223.6800	448.0057	2041	4099	4.9066	4.8870	38.8160	5.0640	60710.2705	3110	3787824.0000	613	22	143.1301	4.8108
106	30.8053	3722.0806	842.6679	2041	5296	6.4806	6.0523	58.5256	6.6462	114659.8947	3764	7153839.0000	398	172	40.3645	6.2006
107	13.3030	3296.2639	757.0235	2041	4403	4.1378	4.0935	66.0777	4.2839	43850.2867	3439	2735899.0000	597	157	34.1597	4.0512
108	56.1292	4245.7727	1218.4919	2042	6678	8.4947	8.4130	174.4906	8.6404	238311.6419	4251	14868696.0000	474	162	140.9469	8.4822
109	45.1502	3937.8026	1100.1679	2042	6038	7.7059	7.4601	28.8452	7.9467	177792.3900	4014	11092790.0000	366	233	59.3493	7.4694
110	39.9411	3947.9607	840.4912	2041	5711	7.2924	6.9737	48.6592	7.5389	157686.0349	3806	9838318.0000	962	282	49.0856	7.0721
111	31.8792	4087.7592	809.3721	2041	5688	6.3887	6.3533	6.7441	6.5344	130314.4159	3980	8130553.0000	433	407	35.5377	6.3300
112	15.1462	3253.2624	440.8410	2041	4020	4.4226	4.3605	88.0879	4.5734	49274.6200	3202	3074333.0000	344	457	48.3665	4.3044
113	37.0561	3979.3919	788.4030	2042	5655	6.9033	6.8346	68.0786	7.1302	147460.9117	3839	9200354.0000	145	506	73.4956	6.8364
114	26.4297	4002.2395	760.5861	2048	5445	5.8193	5.7827	78.3033	5.9664	105778.1849	3896	6599693.0000	697	524	72.7185	5.6970
115	32.9530	3701.8906	664.3242	2041	5167	6.4816	6.4733	72.2750	6.6438	121988.5483	3585	7611087.0000	48	556	59.0362	6.4566
116	23.0800	3568.8486	595.8442	2044	4713	5.4680	5.3742	75.0601	5.6049	82368.8485	3525	5139142.0000	146	582	71.5651	5.4438
117	25.5322	3664.2844	620.3682	2045	4866	5.7125	5.6908	108.7311	5.8648	93557.2230	3588	5837205.0000	889	584	122.6609	5.6970
118	33.0973	3759.6136	682.3404	2049	5140	6.5134	6.4699	63.7648	6.6631	124433.0195	3624	7763602.0000	100	676	51.1702	6.4566
119	36.9760	4104.4365	895.1266	2037	5887	6.9458	6.7781	24.7335	7.2174	151765.6590	4006	9468935.0000	413	707	21.6148	6.8364
120	30.5649	3968.2480	775.4714	2046	5557	6.2770	6.1998	52.8239	6.4318	121289.1296	3875	7567449.0000	344	731	36.1932	6.2034
121	24.9873	3714.7755	651.1875	2043	5004	5.6456	5.6353	120.7249	5.7864	92822.0304	3669	5791335.0000	668	731	100.0806	5.6970
