angle (rad)	r (microns)	Courbure (um^-1)	 Rayon de courbure (um)
0.689	7.2143	0.15422	6.4843
0.69	7.2136	0.15415	6.4872
0.691	7.2129	0.15408	6.4901
0.692	7.2122	0.15401	6.4931
0.693	7.2115	0.15394	6.496
0.694	7.2108	0.15387	6.4989
0.695	7.2101	0.1538	6.5018
0.696	7.2094	0.15373	6.5048
0.697	7.2087	0.15366	6.5077
0.698	7.208	0.1536	6.5106
0.699	7.2073	0.15353	6.5135
0.7	7.2066	0.15346	6.5164
0.701	7.2059	0.15339	6.5194
0.702	7.2052	0.15332	6.5223
0.703	7.2045	0.15325	6.5252
0.704	7.2037	0.15318	6.5281
0.705	7.203	0.15311	6.531
0.706	7.2023	0.15305	6.534
0.707	7.2016	0.15298	6.5369
0.708	7.2009	0.15291	6.5398
0.709	7.2002	0.15284	6.5427
0.71	7.1995	0.15277	6.5456
0.711	7.1988	0.15271	6.5485
0.712	7.1981	0.15264	6.5514
0.713	7.1974	0.15257	6.5543
0.714	7.1966	0.1525	6.5573
0.715	7.1959	0.15244	6.5602
0.716	7.1952	0.15237	6.5631
0.717	7.1945	0.1523	6.566
0.718	7.1938	0.15223	6.5689
0.719	7.1931	0.15217	6.5717
0.72	7.1923	0.1521	6.5746
0.721	7.1916	0.15203	6.5775
0.722	7.1909	0.15197	6.5804
0.723	7.1902	0.1519	6.5833
0.724	7.1895	0.15183	6.5862
0.725	7.1888	0.15177	6.5891
0.726	7.188	0.1517	6.5919
0.727	7.1873	0.15163	6.5948
0.728	7.1866	0.15157	6.5977
0.729	7.1859	0.1515	6.6005
0.73	7.1851	0.15144	6.6034
0.731	7.1844	0.15137	6.6062
0.732	7.1837	0.15131	6.6091
0.733	7.183	0.15124	6.6119
0.734	7.1822	0.15118	6.6148
0.735	7.1815	0.15111	6.6176
